Output Video file name,Video Clip Heading,Input Video file name
SMMP4D1B1,Exercise 1-Wrist Weight/Dumbbell Chest Flyes,Dumbbell Lying Chest Flyes.mp4
,Exercise 2-Band Standing Glute Kickbacks (holding onto chair or wall for support),Banded Glute Kickback with Wall.mp4
,Exercise 3-Band Seated or Standing Isolated Tricep Extensions,Band Standing Tricep Extensions.mp4
,,
SMMP4D1 ALL,Exercise 1-Wrist Weight/Dumbbell Chest Flyes,Dumbbell Lying Chest Flyes.mp4
,Exercise 2-Band Standing Glute Kickbacks (holding onto chair or wall for support),Banded Glute Kickback with Wall.mp4
,Exercise 3-Band Seated or Standing Isolated Tricep Extensions,Band Standing Tricep Extensions.mp4
,,
,Exercise 1-Seated Knee Lifts,Seated Knee Lifts.mp4
,Exercise 2-Wrist Weights or Dumbbell Seated Bent Over Rows,Dumbbell Seated Bent Over Rows.mp4
,Exercise 3-No Weight or Ankle Weights Seated Knee to Elbow,Knee to Elbow.mp4
,,
,Exercise 1-Wrist Weights or Dumbbell Butterfly Raises,Dumbell Butterfly Raise.mp4
,Exercise 2-Seated Heel beats,Seated Heel Beats.mp4
,Exercise 3-Seated Leg Crossovers for Lower Abs,Seated Leg Crossovers for Lower Abs.mp4
,,
SMMP4D3 ALL,Exercise 1-Band Standing Side Leg Raises,Banded Side Leg Raises No Support.mp4
,Exercise 2-Wrist Weights or Dumbbell Lawn Mower Pulls,Dumbbell Lawn Mower Pulls.mp4
,Exercise 3-Wrist Weights or Dumbbell Seated Isolated Front of Face Tricep Extensions,Tricep Front of Face Extension.mp4
,,
,Exercise 1-Ankle Weight Standing Isolated Hamstring Curls,No Weight Standing Isolated Hamstring Curl.mp4
,Exercise 2-Band External Rotation,Band External Rotation.mp4
,Exercise 3-Band Internal Rotation,Band Internal Rotation.mp4
,,
,Exercise 1-No Weight Step ups,No Weight Step Up.mp4
,Exercise 2-Wrist Weights Seated or Standing I-Y-T Raise,IYT.mp4
,Exercise 3-Wrist Weights or Dumbbell Seated or Standing Double Bicep Curls,Dumbell Standing Bicep Curls (2).mp4
,,
SMMP4D4 ALL,Exercise 1-Band Seated Isolated Leg Press,Band Seated Isolated Leg Press.mp4
,Exercise 2-Wrist Weights or Dumbbell Seated or Standing Alternating Hammer Shoulder Press,Dumbbell Alternating Hammer Shoulder Press.mp4
,Exercise 3-Dumbbell Seated or Standing Bicep Curls,Dumbbell Standing Double Bicep Curls.mp4
,,
,Exercise 1-Wrist Weights or Dumbbell Seated One Arm Rows,Dumbbell Seated One Arm Rows.mp4
,Exercise 2-Tube Band Reverse Grip Lat Pulldowns,Tube Band Reverse Grip Lat Pulldown.mp4
,Exercise 3-Seated Flutter Kicks,Seated Flutter Kicks.mp4
,,
,Exercise 1-No Weight Seated or Standing Good Mornings,No Weight Good Morning.mp4
,Exercise 2-Wrist Weights or Dumbbell Seated Side Lateral Raises,Dumbbell Seated Lateral Raises.mp4
,Exercise 3-Seated or Standing Progressive Marching with Wrist Weights Hammer Curls,Weighted Seated or Standing Progressive Marching.mp4
,,
SMMP4D3B3,Exercise 1-No Weight Step ups,No Weight Step Up.mp4
,Exercise 2-Wrist Weights Seated or Standing I-Y-T Raise,IYT.mp4
,Exercise 3-Wrist Weights or Dumbbell Seated or Standing Double Bicep Curls,Dumbell Standing Bicep Curls (2).mp4
,,
SMMP4D4B1,Exercise 1-Band Seated Isolated Leg Press,Band Seated Isolated Leg Press.mp4
,Exercise 2-Wrist Weights or Dumbbell Seated or Standing Alternating Hammer Shoulder Press,Dumbbell Alternating Hammer Shoulder Press.mp4
,Exercise 3-Dumbbell Seated or Standing Bicep Curls,Dumbbell Standing Double Bicep Curls.mp4
,,
SMMP4D4B2,Exercise 1-Wrist Weights or Dumbbell Seated One Arm Rows,Dumbbell Seated One Arm Rows.mp4
,Exercise 2-Tube Band Reverse Grip Lat Pulldowns,Tube Band Reverse Grip Lat Pulldown.mp4
,Exercise 3-Seated Flutter Kicks,Seated Flutter Kicks.mp4
,,
SMMP4D4B3,Exercise 1-No Weight Seated or Standing Good Mornings,No Weight Good Morning.mp4
,Exercise 2-Wrist Weights or Dumbbell Seated Side Lateral Raises,Dumbbell Seated Lateral Raises.mp4
,Exercise 3-Seated or Standing Progressive Marching with Wrist Weights Hammer Curls,Weighted Seated or Standing Progressive Marching.mp4
,,
